scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 1,Ablaincourt_Floris,0,Do-Nothing,351.1667287349701,1271.6129523458412,,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,0,Random,348.79618525505066,1262.8064957664253,,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,0,GP,363.99104022979736,1317.0958021844176,366.18213072648643,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,0,TabPFN-Fallback,363.98640394210815,1317.0958021844176,358.03187231222796,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,0,GraphPFN,341.3085467815399,1236.5316620769604,348.6209411621094,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 2,Ablaincourt_Floris,0,Do-Nothing,351.1667287349701,1271.6129523458412,,8.0,270.0,4.60479736328125,9.536691665649414,240.258544921875,331.32073974609375,7
Scenario 2,Ablaincourt_Floris,0,Random,348.79618525505066,1262.8064957664253,,8.0,270.0,4.60479736328125,9.536691665649414,240.258544921875,331.32073974609375,7
Scenario 2,Ablaincourt_Floris,0,GP,359.4430236816406,1300.949740699426,456.99664928488454,8.0,270.0,4.60479736328125,9.536691665649414,240.258544921875,331.32073974609375,7
Scenario 2,Ablaincourt_Floris,0,TabPFN-Fallback,353.1696848869324,1278.8398740671582,363.6098367621502,8.0,270.0,4.60479736328125,9.536691665649414,240.258544921875,331.32073974609375,7
Scenario 2,Ablaincourt_Floris,0,GraphPFN,341.3085467815399,1236.5316620769604,350.87188720703125,8.0,270.0,4.60479736328125,9.536691665649414,240.258544921875,331.32073974609375,7
Scenario 1,Ablaincourt_Floris,1,Do-Nothing,351.1667287349701,1271.6129523458412,,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,1,Random,355.2067975997925,1285.8295184172034,,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,1,GP,365.2400178909302,1321.54339568339,370.1707234359428,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,1,TabPFN-Fallback,365.2980213165283,1321.747409044103,361.6204097251095,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 1,Ablaincourt_Floris,1,GraphPFN,357.20061922073364,1293.2236984829408,350.97479248046875,8.0,270.0,8.0,8.0,270.0,270.0,7
Scenario 2,Ablaincourt_Floris,1,Do-Nothing,351.1667287349701,1271.6129523458412,,8.0,270.0,4.311367034912109,8.973167419433594,215.7742919921875,332.0008544921875,7
Scenario 2,Ablaincourt_Floris,1,Random,355.2067975997925,1285.8295184172034,,8.0,270.0,4.311367034912109,8.973167419433594,215.7742919921875,332.0008544921875,7
Scenario 2,Ablaincourt_Floris,1,GP,353.39413571357727,1279.17834786988,459.6797906679929,8.0,270.0,4.311367034912109,8.973167419433594,215.7742919921875,332.0008544921875,7
