branch,scenario,env_id,method,mean_gain_kw,std_gain_kw,gain_pct,mean_reward,std_reward,baseline_mean
Kevin,Scenario 1,Ablaincourt_Floris,GP,13.610682999999995,0.6845471701701683,3.876,364.77741199999997,0.6845471701701683,351.166729
Kevin,Scenario 1,Ablaincourt_Floris,GraphPFN,-12.196174999999982,4.465375128535917,-3.473,338.970554,4.465375128535917,351.166729
Zeph,Scenario 1,Ablaincourt_Floris,PPO,16.66627500000004,113.188083,4.730212,369.002985,113.188083,352.33671
Kevin,Scenario 1,Ablaincourt_Floris,Random,-1.0411786666666103,4.564148939432874,-0.296,350.12555033333336,4.564148939432874,351.166729
Kevin,Scenario 1,Ablaincourt_Floris,TabPFN,11.891115333333346,2.62888532313152,3.386,363.0578443333333,2.62888532313152,351.166729
Kevin,Scenario 1,HornsRev1_Floris,GP,7.798204499999997,1.2610973670817331,4.564,178.6547495,1.2610973670817331,170.856545
Kevin,Scenario 1,HornsRev1_Floris,GraphPFN,8.887629499999974,1.3743292043802693,5.202,179.74417449999999,1.3743292043802693,170.856545
Zeph,Scenario 1,HornsRev1_Floris,PPO,-11.27480300000002,60.907979,-3.114716,350.710192,60.907979,361.984995
Kevin,Scenario 1,HornsRev1_Floris,Random,4.31243299999997,0.4509912908272102,2.524,175.16897799999998,0.4509912908272102,170.856545
Kevin,Scenario 1,HornsRev1_Floris,TabPFN,7.6026684999999645,4.381360188345671,4.45,178.45921349999998,4.381360188345671,170.856545
Zeph,Scenario 1,HornsRev2_Floris,PPO,-15.649138999999991,15.958261,-4.04315,371.403961,15.958261,387.0531
Zeph,Scenario 1,Ormonde_Floris,PPO,-4.95975100000004,53.861397,-1.224397,400.117217,53.861397,405.076968
Zeph,Scenario 1,Turb16_Row5_Floris,PPO,-1.7414319999999748,43.44067,-0.36924,469.884156,43.44067,471.625588
Zeph,Scenario 1,Turb1_Row1_Floris,PPO,-0.0009610000000179753,0.584728,-0.000196,490.959437,0.584728,490.960398
Zeph,Scenario 1,Turb2_Row1_Floris,PPO,1.159281999999962,60.323158,0.263847,440.535584,60.323158,439.376302
Zeph,Scenario 1,Turb32_Row5_Floris,PPO,-3.4399060000000077,47.849997,-0.743619,459.150239,47.849997,462.590145
Zeph,Scenario 1,Turb3_Row1_Floris,PPO,-3.068446999999992,86.181915,-0.726852,419.087422,86.181915,422.155869
Zeph,Scenario 1,Turb6_Row2_Floris,PPO,4.659292999999991,70.308589,1.122367,419.790401,70.308589,415.131108
Zeph,Scenario 1,Turb_TCRWP_Floris,PPO,-9.023867999999993,68.282797,-2.513187,350.036918,68.282797,359.060786
Zeph,Scenario 1,WMR_Floris,PPO,-3.7187439999999583,24.248393,-0.80157,460.213834,24.248393,463.932578
Kevin,Scenario 2,Ablaincourt_Floris,GP,5.453941000000043,3.044631769760674,1.553,356.62067,3.044631769760674,351.166729
Kevin,Scenario 2,Ablaincourt_Floris,GraphPFN,-5.068423333333328,4.477947656853591,-1.443,346.09830566666665,4.477947656853591,351.166729
Zeph,Scenario 2,Ablaincourt_Floris,PPO,16.66627500000004,113.188083,4.730212,369.002985,113.188083,352.33671
Kevin,Scenario 2,Ablaincourt_Floris,Random,-1.0411786666666103,4.564148939432874,-0.296,350.12555033333336,4.564148939432874,351.166729
Kevin,Scenario 2,Ablaincourt_Floris,TabPFN,12.496336000000042,1.2539291385209825,3.559,363.663065,1.2539291385209825,351.166729
Kevin,Scenario 2,HornsRev1_Floris,GP,5.243396999999959,3.0220988368878783,3.069,176.09994199999997,3.0220988368878783,170.856545
Kevin,Scenario 2,HornsRev1_Floris,GraphPFN,7.806963999999965,1.2269024689016643,4.569,178.66350899999998,1.2269024689016643,170.856545
Zeph,Scenario 2,HornsRev1_Floris,PPO,-11.27480300000002,60.907979,-3.114716,350.710192,60.907979,361.984995
Kevin,Scenario 2,HornsRev1_Floris,Random,4.292191999999972,0.32082030241865156,2.512,175.14873699999998,0.32082030241865156,170.856545
Kevin,Scenario 2,HornsRev1_Floris,TabPFN,5.191228999999993,3.1378009045597572,3.038,176.047774,3.1378009045597572,170.856545
Kevin,Scenario 2,HornsRev2_Floris,GP,-1.6095993333332785,1.0738313821826857,-0.44,364.5875246666667,1.0738313821826857,366.197124
Kevin,Scenario 2,HornsRev2_Floris,GraphPFN,-1.9492159999999785,1.486579567093881,-0.532,364.247908,1.486579567093881,366.197124
Zeph,Scenario 2,HornsRev2_Floris,PPO,-15.649138999999991,15.958261,-4.04315,371.403961,15.958261,387.0531
Kevin,Scenario 2,HornsRev2_Floris,Random,-1.7277946666666821,0.5299316509912831,-0.472,364.4693293333333,0.5299316509912831,366.197124
Kevin,Scenario 2,HornsRev2_Floris,TabPFN,-1.0658723333332887,1.1236030670126984,-0.291,365.1312516666667,1.1236030670126984,366.197124
Kevin,Scenario 2,Ormonde_Floris,GP,0.2731026666666594,1.839721173369059,0.077,353.39129166666663,1.839721173369059,353.118189
Kevin,Scenario 2,Ormonde_Floris,GraphPFN,1.3314966666666805,0.5310811432543565,0.377,354.44968566666665,0.5310811432543565,353.118189
Zeph,Scenario 2,Ormonde_Floris,PPO,-4.95975100000004,53.861397,-1.224397,400.117217,53.861397,405.076968
Kevin,Scenario 2,Ormonde_Floris,Random,0.7578773333333402,0.1073899813312993,0.215,353.8760663333333,0.1073899813312993,353.118189
Kevin,Scenario 2,Ormonde_Floris,TabPFN,1.438037333333341,0.4932979732315296,0.407,354.5562263333333,0.4932979732315296,353.118189
Kevin,Scenario 2,Turb10_Row1_Floris,GP,0.8981936666666854,0.3113090643995598,0.583,154.86267066666667,0.3113090643995598,153.964477
Kevin,Scenario 2,Turb10_Row1_Floris,GraphPFN,16.608747666666687,4.20597340685486,10.787,170.57322466666668,4.20597340685486,153.964477
Kevin,Scenario 2,Turb10_Row1_Floris,Random,2.6334216666666634,2.793560982176744,1.71,156.59789866666665,2.793560982176744,153.964477
Kevin,Scenario 2,Turb10_Row1_Floris,TabPFN,6.39726600000003,6.3454570644870785,4.155,160.36174300000002,6.3454570644870785,153.964477
Kevin,Scenario 2,Turb11_Row1_Floris,GP,7.322228333333328,7.302144817021948,4.836,158.73216633333334,7.302144817021948,151.409938
Kevin,Scenario 2,Turb11_Row1_Floris,GraphPFN,19.71463633333329,3.23033860708507,13.021,171.1245743333333,3.23033860708507,151.409938
Kevin,Scenario 2,Turb11_Row1_Floris,Random,3.132161999999994,4.053573044081124,2.069,154.5421,4.053573044081124,151.409938
Kevin,Scenario 2,Turb11_Row1_Floris,TabPFN,5.913095333333331,7.957149354858757,3.905,157.32303333333334,7.957149354858757,151.409938
Kevin,Scenario 2,Turb12_Row1_Floris,GP,2.6492253333333338,2.835661441033692,1.774,151.95501933333333,2.835661441033692,149.305794
Kevin,Scenario 2,Turb12_Row1_Floris,GraphPFN,19.09167233333335,8.76056812658234,12.787,168.39746633333334,8.76056812658234,149.305794
Kevin,Scenario 2,Turb12_Row1_Floris,Random,3.9514316666666787,5.303215523426173,2.647,153.25722566666667,5.303215523426173,149.305794
Kevin,Scenario 2,Turb12_Row1_Floris,TabPFN,3.913409333333334,0.6162257166536597,2.621,153.21920333333333,0.6162257166536597,149.305794
Kevin,Scenario 2,Turb16_Row5_Floris,GP,1.96708133333334,0.9646073628629304,0.582,340.0236483333333,0.9646073628629304,338.056567
Kevin,Scenario 2,Turb16_Row5_Floris,GraphPFN,3.6340640000000235,1.1396865572480532,1.075,341.690631,1.1396865572480532,338.056567
