branch,scenario,env_id,method,mean_gain_kw,std_gain_kw,gain_pct,mean_reward,std_reward,baseline_mean
Zeph,Scenario 1,Ablaincourt_Floris,PPO,28.422765000000027,0.0,8.093809,379.589488,0.0,351.166723
Zeph,Scenario 1,HornsRev1_Floris,PPO,26.009288000000026,0.0,17.054205,178.518817,0.0,152.509529
Zeph,Scenario 1,HornsRev2_Floris,PPO,-4.459474999999998,0.0,-1.21778,361.737633,0.0,366.197108
Zeph,Scenario 1,Ormonde_Floris,PPO,21.78639400000003,0.0,6.169717,374.904582,0.0,353.118188
Zeph,Scenario 1,Turb16_Row5_Floris,PPO,25.935816999999986,0.0,7.672034,363.992391,0.0,338.056574
Zeph,Scenario 1,Turb1_Row1_Floris,PPO,-0.0019060000000195032,0.0,-0.000389,490.354787,0.0,490.356693
Zeph,Scenario 1,Turb2_Row1_Floris,PPO,5.50899400000003,0.0,1.859331,301.798132,0.0,296.289138
Zeph,Scenario 1,Turb32_Row5_Floris,PPO,24.609643000000005,0.0,7.840757,338.477844,0.0,313.868201
Zeph,Scenario 1,Turb3_Row1_Floris,PPO,46.720921000000004,0.0,20.506796,274.552323,0.0,227.831402
Zeph,Scenario 1,Turb6_Row2_Floris,PPO,48.40508299999999,0.0,21.243096,276.267741,0.0,227.862658
Zeph,Scenario 1,Turb_TCRWP_Floris,PPO,75.41153299999999,0.0,46.711182,236.853672,0.0,161.442139
Zeph,Scenario 1,WMR_Floris,PPO,0.7013559999999757,0.0,0.14765,475.712472,0.0,475.011116
Zeph,Scenario 2,Ablaincourt_Floris,PPO,23.614011000000005,0.0,6.724444,374.780734,0.0,351.166723
Zeph,Scenario 2,HornsRev1_Floris,PPO,12.229793999999998,0.0,7.157932,183.086334,0.0,170.85654
Zeph,Scenario 2,HornsRev2_Floris,PPO,-12.82171500000004,0.0,-3.501315,353.375393,0.0,366.197108
Zeph,Scenario 2,Ormonde_Floris,PPO,0.37806900000003907,0.0,0.107066,353.496257,0.0,353.118188
Zeph,Scenario 2,Turb16_Row5_Floris,PPO,0.48787699999996903,0.0,0.144318,338.544451,0.0,338.056574
Zeph,Scenario 2,Turb1_Row1_Floris,PPO,-0.0007820000000151595,0.0,-0.000159,490.355911,0.0,490.356693
Zeph,Scenario 2,Turb2_Row1_Floris,PPO,0.9771690000000035,0.0,0.329803,297.266307,0.0,296.289138
Zeph,Scenario 2,Turb32_Row5_Floris,PPO,1.5252770000000169,0.0,0.485961,315.393478,0.0,313.868201
Zeph,Scenario 2,Turb3_Row1_Floris,PPO,27.321390000000008,0.0,11.991934,255.152792,0.0,227.831402
Zeph,Scenario 2,Turb6_Row2_Floris,PPO,18.925166999999988,0.0,8.305515,246.787825,0.0,227.862658
Zeph,Scenario 2,Turb_TCRWP_Floris,PPO,16.903369999999995,0.0,10.470234,178.345509,0.0,161.442139
Zeph,Scenario 2,WMR_Floris,PPO,-3.5167280000000005,0.0,-0.740346,471.494388,0.0,475.011116
